"1/06/2023","veterinaria perro", 2 en calle 2
"2/06/2023","Veterinaria perro1", 2 en calle 32
"3/06/2023","Veterinaria aca", 6 en calle 4
"4/06/2023","Veterinaria dda", 8 en calle 5
"5/06/2023","Veterinaria dll", 3 en calle 6
"6/06/2023","amigos de exe", 3 en calle 7
"7/06/2023","Veterinaria dda", 8 en calle 5
"8/06/2023","veterinaria perro", 2 en calle 2
"9/06/2023","Veterinaria perro1", 2 en calle 3
"10/06/2023","Veterinaria aca", 6 en calle 8
"11/06/2023","veterinaria perro", 2 en calle 2
"12/06/2023","Veterinaria perro1", 2 en calle 3
"13/06/2023","Veterinaria aca", 6 en calle 88
"14/06/2023","Veterinaria dda", 8 en calle 5
"15/06/2023","Veterinaria dll", 3 en calle 5
"16/06/2023","amigos de exe", 3 en calle 56
"17/06/2023","Veterinaria dda", 8 en calle 66
"18/06/2023","veterinaria perro", 2 en calle 2
"19/06/2023","Veterinaria perro1", 2 en calle 3
"20/06/2023","Veterinaria aca", 6 en calle 6
"21/06/2023","veterinaria perro", 2 en calle 2
"22/06/2023","Veterinaria perro1", 2 en calle 3
"23/06/2023","Veterinaria aca", 6 en calle 2
"24/06/2023","Veterinaria dda", 8 en calle 1
"25/06/2023","Veterinaria dll", 3 en calle 66
"26/06/2023","amigos de exe", 3 en calle 2
"27/06/2023","Veterinaria dda", 8 en calle 2
"28/06/2023","veterinaria perro", 2 en calle 2
"29/06/2023","Veterinaria perro1", 2 en calle 3
"30/06/2023","Veterinaria aca", 6 en calle 2
